ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Brand,Prime
B0927T6DS6,UHUD CRAFTS Beautiful Antique Wooden Fold-able Side Table/End Table/Plant Stand/Stool Living Room Kids Play Furniture Table Round Shape,415,1599,₹,74,1184,https://www.amazon.in/dp/B0927T6DS6?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31NJkTq39ZL._SL160_.jpg,Furniture,,false
B0D7PXB3SH,"Boat Bassheads 100 C Wired Headphones Earphones with Type-C Jack, in-Line Microphone, in Ear, 10Mm Drivers, Signature Sound, Integrated Controls & Multi-Os Compatibility (Black)",499,1990,₹,74,1491,https://www.amazon.in/dp/B0D7PXB3SH?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/313yUaWYKPL._SL160_.jpg,Computers,,false
B09S6M7JQJ,Ghar Soaps Sandalwood & Saffron Magic Soaps For Bath (300 Gms Pack Of 3) | Paraben Free | Chandan & Kesar Bath Soap | Handmade Soaps For Glowing | Skin Brightening Soap For Men & Women,399,1499,₹,73,1100,https://www.amazon.in/dp/B09S6M7JQJ?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41RkAjrRnbL._SL160_.jpg,HealthPersonalCare,,false
B0DJBZJM15,"Portronics 80W Dual Output Fast Car Charger with Type-C PD & USB, LED Indicator, Charging Adapter Compatible with Cars for iPhone & Android Smartphone, Smartwatch, Earbud, Power Bank (Black)",399,1499,₹,73,1100,https://www.amazon.in/dp/B0DJBZJM15?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/413Bz5kCueL._SL160_.jpg,Automotive,,false
B0BYDVM1F8,GLUN® Multiuse Finger Counter Portable Hand Finger Counting Machine Digital Head Electronic Tally Counter Pack of 3,148,499,₹,70,351,https://www.amazon.in/dp/B0BYDVM1F8?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41LwR0w0d7L._SL160_.jpg,SportsAndOutdoors,,false
B0BY938K6R,"Lifelong Universal & Adjustable Metal Washing Machine Stand (5 KG to 12 KG) | Trolley with Wheels | Single/Double Door Fridge Stand, Air Cooler Stand | 170 KG Capacity, 4 Anti Vibration Pads | Black",899,2999,₹,70,2100,https://www.amazon.in/dp/B0BY938K6R?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31f0lVAHGEL._SL160_.jpg,ToolsAndHomeImprovement,,false
B07B9YYLGG,"Bitdefender - 1 Device,1 Year - Mobile Security | Android| Latest Version | Email Delivery In 2 Hours- No Cd |",117,399,₹,70,282,https://www.amazon.in/dp/B07B9YYLGG?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41ashru03ML._SL160_.jpg,Software,,false
B0BTPKF5B1,Rushwak Shoe Wipes (80 + 80 Wipes) Sneaker Wipes Instant Sneaker Cleaner Shoe Cleaning Wipes Sneaker Wipes for Shoes Quick Remove Dirt Stain Shoe Cleaner Wipes Shoe Wipes for Sneakers Cleaning Kit,299,999,₹,70,700,https://www.amazon.in/dp/B0BTPKF5B1?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41ZKgY4TNzL._SL160_.jpg,Shoes,,false
B0BMZCZTYK,TCCO Natural Sneaker & Shoe Cleaner Wipes - 1 Packs of 80 - Portable Sneakers Cleaner Shoe Wipes Quickly Remove Dirt & Stains - These Disposable Shoe Cleaning Wipes Can Be Used On Footwear,299,999,₹,70,700,https://www.amazon.in/dp/B0BMZCZTYK?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51hnJGgsB-L._SL160_.jpg,Shoes,,false
B07PK41FL4,"GLUN® Electronic Portable Digital LED Screen Luggage Weighing Scale, 50 kg/110 Lb For Multi-Purpose Use.",249,849,₹,70,600,https://www.amazon.in/dp/B07PK41FL4?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31g0gYn8oGL._SL160_.jpg,Luggage,,false
B0DMWC8XFQ,"DJI Mic Mini (2 TX + 1 RX + Charging Case), Ultralight, Detail-Rich Audio, 48h Use, Noise Cancelling, Automatic Limiting, Wireless Microphone for Camera/iPhone/Android, Vlog, Streaming",11670,38999,₹,70,27329,https://www.amazon.in/dp/B0DMWC8XFQ?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41LS0v0GniL._SL160_.jpg,MusicalInstruments,,false
B0DTTXM92H,"Astrotalk Dhan Yog Bracelet | Attracts Wealth & Financial Prosperity | Pyrite, Citrine, & Aventurine bracelet | Astrology Dhanyog Bracelet for Men & Women | Certificate of Authenticity",598,1999,₹,70,1401,https://www.amazon.in/dp/B0DTTXM92H?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41AYJi5GnlL._SL160_.jpg,Jewelry,,false
B0FFZ9QMGD,"ORJILO 5 PCS Microfiber Car Duster Kit Interior & Exterior Car Cleaning Detailing Tool Scratch & Lint Free, Pollen Removing Extendable Long Handle Duster for Car & Motorcycle car (Car Duster Kit)",299,999,₹,70,700,https://www.amazon.in/dp/B0FFZ9QMGD?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41Lc-5MSO2L._SL160_.jpg,Automotive,,false
B0CDPG65DT,"BitDefender Total Security Latest Version (Windows / Mac / Android / iOS) - 3 Devices, 3 Years (Single Activation Code) (Email Delivery in 2 hours - No CD)",952,2995,₹,68,2043,https://www.amazon.in/dp/B0CDPG65DT?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51+7WqOeA9L._SL160_.jpg,Software,,false
B017NPCSLI,"Juârez Acoustic Guitar Kit, JRZ38C/BK 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black",2174,6990,₹,68,4816,https://www.amazon.in/dp/B017NPCSLI?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51M9T0C4ssL._SL160_.jpg,MusicalInstruments,,false
B0FCYMP4D2,"pTron KWM-1 Omnidirectional Type C Wireless Microphone w/DSP Noise Cancellation, Plug & Play, 25m Wireless Range, Lapel Wireless Collar Mic for Video Recording, Supports Type C Android, iPhone(Black)",999,3199,₹,68,2200,https://www.amazon.in/dp/B0FCYMP4D2?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41s3C7OUrjL._SL160_.jpg,MusicalInstruments,,false
